date;Marketcap
2018-08-07;251595000000
2018-08-08;240790000000
2018-08-09;219920000000
2018-08-10;232503000000
2018-08-11;208884000000
2018-08-12;213905000000
2018-08-13;214196000000
2018-08-14;193771000000
2018-08-15;195196000000
2018-08-16;203204000000
2018-08-17;204284000000
2018-08-18;219820000000
2018-08-19;211625000000
2018-08-20;216159000000
2018-08-21;205454000000
2018-08-22;219231000000
2018-08-23;206850000000
2018-08-24;210935000000
2018-08-25;217034000000
2018-08-26;217089000000
2018-08-27;217717000000
2018-08-28;224428000000
2018-08-29;230398000000
2018-08-30;231473000000
2018-08-31;224786000000
2018-09-01;228227000000
2018-09-02;236903000000
2018-09-03;234503000000
2018-09-04;236417000000
2018-09-05;238584000000
2018-09-06;217260000000
2018-09-07;206003000000
2018-09-08;203374000000
2018-09-09;191524000000
2018-09-10;196116000000
2018-09-11;195318000000
2018-09-12;189250000000
2018-09-13;196541000000
2018-09-14;199127000000
